telegram_id,username,deliveries_30d,avg_score,max_score,expertise,target_roles,industries,languages,locations
374526608,extravegganza,0,,,"Art direction across 2D, 3D, animation, UI, marketing | Creative team leadership and mentoring (up to 10 people) | Visual development and style definition | Mobile F2P and casual game production (merge, city-builder) | Hiring, onboarding, workload planning, resource allocation | Pipeline and workflow improvement | AI-assisted art production workflows | Concept art and visual guidelines creation | Cross-functional collaboration (product, design, engineering, narrative, marketing) | Narrative design and screenwriting basics | Tools: Photoshop, Figma, Blender basics, Spine basics, Unity basics, Asana, Jira, Trello, Miro",Creative Director | Art Director | Head of Art | Art Lead | Art Manager | Associate Art Producer | Art Producer | 2D Team Lead | Marketing Artist | Senior 2D Artist,"PC games (indie, AA, AAA) | Games (mobile F2P, casual) | Startup game studios | Film / animation | Comics | Books / publishing",English — professional working proficiency | Ukrainian — native | Russian — native | Spanish — A2,"['Madrid'] | ['Spain'] | True | True | Мадрид — текущая локация, признаёт нехватку студий. Приоритет — удалёнка. Открыта к переезду при интересном оффере."
772843097,Keny371,0,,,Работа с морепродуктами | Открытие ресторанов с нуля | Операционное управление кухней | Разработка меню | Управление командой кухни | Бригадирство и су-шеф функции,Шеф-повар | Операционный шеф-повар | Старший су-шеф,,Русский — родной,"['Москва', 'Санкт-Петербург', 'Архангельск'] | ['Россия']"
484305064,millkisss,0,,,Физический труд | Работа руками | Слесарное дело | Обход газового оборудования | Усидчивость и внимательность к монотонным задачам,Надомный сборщик | Надомный работник (рукоделие) | Сборка изделий на дому для производства | Надомный мастер,,,['Коломна'] | ['Московская область'] | ['Россия'] | True
397378868,R11055Rus112560,1,8.5,8.5,"Приёмка и отгрузка товара | Сборка и упаковка заказов | Работа в 1С:Предприятие 8 | Контроль погрузочно-разгрузочных работ | Инвентаризация и работа с ТМЦ | Контроль упаковки, маркировки и фактической массы товара | Контроль сроков годности | Разлив жидкой продукции и сортировка сыпучих | Работа с полуавтоматическим оборудованием (этикетировка)",Кладовщик | Приёмщик товаров | Сборщик заказов,Складская логистика | Производство | Косметика и парфюмерия | FMCG | E-commerce (склад),Русский — родной,['Санкт-Петербург'] | ['Россия'] | ['Красногвардейский район']
5036505765,aritrhn,1,6.5,6.5,Письменный перевод с английского языка | Письменный перевод с немецкого языка | Перевод художественной литературы | Перевод технических текстов | Перевод субтитров | Военный перевод,Фриланс-переводчик | Штатный переводчик (удалённо),,Русский — родной | Английский — C1 | Немецкий — B2,True
213151115,accumulator_a,1,5.5,5.5,"Гастроэнтерология (амбулаторный приём взрослых и детей) | Эндоскопия (плановая и экстренная, диагностическая и оперативная) | Эндоскопическая эндосонография с тонкоигольной аспирационной пункцией | Руководство медицинским направлением (контроль качества, ИПР врачей, KPI) | Преподавание и методическая работа (НГУ, семинары, journal club) | Научная деятельность в молекулярной биологии и фармакологии (патент на изобретение) | Написание медицинских статей и руководств (соавтор книги «Младенческая гастроэнтерология») | Организация стационарного лечения в рамках ОМС/ДМС",Врач-гастроэнтеролог | Врач-эндоскопист | Специалист по организации здравоохранения | Аналитик системы здравоохранения | Медицинский эксперт в медтех-проекте | Врач экстренной помощи / стационарный гастроэнтеролог,"Здравоохранение (стационарное, экстренное) | Организация и планирование здравоохранения | Медтех (аналитика систем, не оборудование/продажи) | Гуманитарные миссии и международная медицина (MSF, МККК, ВОЗ)",Русский — родной | Английский — B2,"['Санкт-Петербург', 'Москва'] | ['Россия', 'международные варианты'] | True | True"
176648244,aseykina,5,6.9,7.5,Product management in EdTech/HRTech | Education operations scaling | Curriculum design and development | P&L management and unit economics | Cross-functional team leadership (25+ people) | B2B corporate learning programs | Internship/career support platform development (0 to 1) | Growth strategy development and execution | Stakeholder management | B2B sales and account management | Program production end-to-end,Head of Product | Head of Business Unit | General Manager | COO | Director of Operations | VP of Product | Product Lead | Head of EdTech / HRTech product,EdTech | HRTech | WorkTech | Social Media,Russian (native) | English (professional),"Удалёнка или физически в Дубае + командировки. К релокации не готова. США — не приоритет. | ['Dubai'] | ['UAE', 'MENA', 'Europe', 'LATAM'] | True"
189747273,A_Zvezdulina,5,6.5,8.5,Проектирование автомобильных дорог (общего пользования и промпредприятий) | Разработка генеральных планов | Транспортное планирование и инфраструктура | Руководство отделом/управлением проектировщиков | Координация проектных команд | Перспективное развитие транспортной инфраструктуры | Управление проектами в строительстве и проектировании,Руководитель проекта | Руководитель отдела | Руководитель управления,,,
556020,bamtelegram,5,6.3,7.5,"Построение отделов продаж с нуля (KPI, мотивация, скрипты, регламенты, CRM) | Управление командами продаж (до 32 человек) | Аудит коммерческой функции и воронок продаж | B2B-продажи (холодные и входящие) | Повышение конверсии и маржинальности | Обучение и развитие руководителей продаж | Планирование и аналитика продаж",Руководитель отдела продаж | Head of Sales | Коммерческий директор | Директор по продажам,IT / SaaS (опыт в Контуре) | Автомобильный бизнес / оптовая торговля (опыт в АК ЭНЕРГИЯ),Русский — родной | Английский — A1 (начальный),Екатеринбург (офис рядом с домом) или удалёнка с нормальным часовым поясом. Не готов к переезду. Редкие командировки окей. | ['Екатеринбург'] | ['Россия'] | True
476036997,wolkoff_13,6,7.0,8.5,"Финансовый анализ и отчётность (Excel, Power BI, Google Sheets, 1С) | Обработка и визуализация данных | Оптимизация бизнес-процессов и автоматизация | Логистика и работа с перевозчиками | Продажи и сопровождение клиентов (B2B) | Организация мероприятий (до 300+ участников) | Работа с AI-инструментами (Claude, ChatGPT, DeepSeek, Perplexity) | Python, Power Query, AmoCRM, Notion",Бизнес-ассистент | Помощник руководителя,"Строительство (жилое, промышленное, дорожное, ремонты) | Сельское хозяйство | Недвижимость | Автомобили и автоспорт | Транспортная инфраструктура | Производство / реальный сектор",Русский — родной | Английский — B2 | Немецкий — A2,['Санкт-Петербург'] | ['Россия'] | True | True
