 telegram_id,telegram_username,plan,subscription_status,is_active,profile_ready,registered_at,deliveries_total,breakdowns_total,expertise,target_roles,anti_roles,industries_interested,industries_experience,seniority,years_of_experience,work_format,location,location_preferences,min_monthly,salary_expectations,languages,ideal_work_description,additional_context
397378868,R11055Rus112560,free,free,True,True,2026-06-26,12,0,"Приёмка и отгрузка товара, Сборка и упаковка заказов, Работа в 1С:Предприятие 8, Контроль погрузочно-разгрузочных работ, Инвентаризация и работа с ТМЦ, Контроль упаковки, маркировки и фактической массы товара, Контроль сроков годности, Разлив жидкой продукции и сортировка сыпучих, Работа с полуавтоматическим оборудованием (этикетировка)","Кладовщик, Приёмщик товаров, Сборщик заказов",,"Складская логистика, Производство, Косметика и парфюмерия, FMCG, E-commerce (склад)",,Middle (4+ лет опыта в складской логистике),,,,"{""cities"": [""Санкт-Петербург""], ""countries"": [""Россия""], ""remote_ok"": false, ""districts_preferred"": [""Красногвардейский район""]}",,,Русский — родной,,
1900399958,Lilstpd,free,free,True,False,2026-07-24,0,0,,,,,,,,,,,,,,"UI/UX или веб-дизайн. Создание интерфейсов мобильных приложений, иногда веб-приложений. Работа в Figma.",
374526608,extravegganza,grandfather,grandfather,True,True,2026-06-16,1,0,"Art direction across 2D, 3D, animation, UI, marketing, Creative team leadership and mentoring (up to 10 people), Visual development and style definition, Mobile F2P and casual game production (merge, city-builder), Hiring, onboarding, workload planning, resource allocation, Pipeline and workflow improvement, AI-assisted art production workflows, Concept art and visual guidelines creation, Cross-functional collaboration (product, design, engineering, narrative, marketing), Narrative design and screenwriting basics, Tools: Photoshop, Figma, Blender basics, Spine basics, Unity basics, Asana, Jira, Trello, Miro","Creative Director, Art Director, Head of Art, Art Lead, Art Manager, Associate Art Producer, Art Producer, 2D Team Lead, Marketing Artist, Senior 2D Artist","Роль транслятора чужого мнения без реального влияния, Исполнительский арт без голоса в принятии решений, HR/психотерапевт для команды","PC games (indie, AA, AAA), Games (mobile F2P, casual), Startup game studios, Film / animation, Comics, Books / publishing",,Lead / Head (10+ years of experience),,,,"{""cities"": [""Madrid""], ""countries"": [""Spain""], ""remote_ok"": true, ""relocation_open"": true, ""relocation_notes"": ""Мадрид — текущая локация, признаёт нехватку студий. Приоритет — удалёнка. Открыта к переезду при интересном оффере.""}",,,"English — professional working proficiency, Ukrainian — native, Russian — native, Spanish — A2","Хочет задавать креативное видение для мультимедиа продуктов — в первую очередь игры, но открыта для фильмов, комиксов, книг. Нравится управлять творческими командами до 10 человек. Интересен R&D, где нужно разрабатывать креативные фичи с нуля. Жанр не принципиален — готова подстраиваться.",
8208559481,awiiq88,free,free,False,True,2026-06-27,54,0,"Платежные операции (крипто, P2P, USDT), Антифрод-системы и AML / Fraud Prevention, Мониторинг транзакций и сверки, Автоматизация процессов (n8n, SQL), Low-code / no-code разработка (Webflow, Tilda), API-интеграции и разработка AI-ботов, UX/UI дизайн, Веб-разработка, Продуктовое мышление и участие в разработке продукта на early-stage, KYC/AML-операции, Web3, DeFi, NFT-трейдинг, криптобиржи, CRM-интеграции, Операционное управление",,,"FinTech, Крипто / Web3 / DeFi, Платёжные системы, Комплаенс / AML / KYC",,"Middle (2–3 года в FinTech/платежах, опыт самостоятельного ведения продукта на early-stage)",,,,"{""cities"": [""Бали""], ""countries"": [""Индонезия""], ""remote_ok"": true}",,,"Русский (родной), Английский (B1+/B2, рабочий уровень)",,
354378416,smiroshkin,free,free,True,True,2026-07-23,12,0,"Project & Delivery Management (полный цикл: Discovery → эксплуатация), Управление кросс-функциональными командами до 25 человек, Stakeholder Management (бизнес-заказчики, PO, архитекторы, ИБ, DevOps, внешние партнёры), Оптимизация delivery-процессов (DoR, DoD, Acceptance Criteria, релизные процессы), Roadmap-планирование, управление рисками и зависимостями, Agile (Scrum, Kanban), backlog-менеджмент, Управление интеграционными сервисами и внутренними платформами, Бизнес- и системный анализ (User Stories, Use Cases, функциональные требования), Управление метриками поставки (velocity, predictability, capacity), Опыт hardware/software-разработки (радиолокационные комплексы, ОКР/НИОКР)",,,"FinTech, EdTech, Automotive / AutoTech, Enterprise Platforms, E-commerce / Logistics",,"Senior (8+ лет в IT-проектах, из них 4+ года в роли Delivery/Project Manager в крупных компаниях)",,,,"{""cities"": [""Москва""], ""countries"": [""Россия""], ""remote_ok"": true}",,,Русский — родной,"Создание и развитие сложных цифровых продуктов и платформ, где нужно объединять интересы бизнеса, продукта и разработки, выстраивать эффективные процессы и помогать командам достигать амбициозных целей. Интересно решать масштабные задачи с высокой степенью неопределённости, превращая идеи в работающие решения. Важно иметь возможность влиять на организацию работы, улучшать процессы, повышать эффективность команд и видеть реальный результат. Мотивируют проекты, требующие системного мышления, взаимодействия с сильными специалистами и постоянного профессионального развития.",
225381796,Valeriya_Tarasova,grandfather,grandfather,False,True,2026-06-19,13,0,"Full-cycle market research (quantitative + qualitative), Competitive analysis and benchmarking, Go-To-Market strategy design, User research and surveys (SurveyMonkey, Typeform), Data visualization (Tableau, Power BI, QlikView), SQL and Python for data collection and automation, SPSS statistical analysis, OSINT research with AI tools (Perplexity AI, GPT), ESG analytics, Forecasting and data modeling, B2B and B2C research, Stakeholder management and strategic presentations, BigQuery, Salesforce CX, Google Analytics GA4, Agile/Scrum cross-functional collaboration",,,"Fintech, Digital assets / Crypto, IT / SaaS, Energy sector, EdTech",,Senior (6+ years of experience),,,,"{""cities"": [""Madrid""], ""countries"": [""Spain"", ""EU"", ""UAE""], ""remote_ok"": true}",,,"English - C1 (Fluent), Spanish - C1 (Fluent), Russian - Native",Работа in-house в компании (не в агентстве/консалтинге). Анализ рынков с прямым влиянием на продукт. Участие в построении стратегий выхода на новые рынки и запуска новых продуктов.,
5014819523,nastia_bashtovaia,free,free,True,True,2026-06-25,14,0,"Полный цикл IT-рекрутмента, Сорсинг и активный хантинг (AmazingHiring, LinkedIn, Habr, hh.ru, getmatch, Boolean Search, X-Ray), Проведение HR-скринингов и интервью по компетенциям, Снятие требований с нанимающих менеджеров, Работа с обратной связью и координация технических интервью, Согласование и презентация офферов, Ведение 10–15 активных вакансий одновременно (ATS: Хантфлоу, FriendWork), Аналитика рынка и выстраивание стратегии поиска, Закрытие вакансий Middle/Senior уровня: Java, Go, C++, Python, JS, QA, Data Scientist, Team Lead","IT Рекрутер, Специалист по подбору персонала",,"Информационные технологии, Разработка программного обеспечения, Маркетинг и реклама",,Middle+/Senior IT Recruiter (8 лет опыта в рекрутменте),,,,"{""cities"": [""Москва""], ""remote_ok"": true, ""relocation"": false, ""rare_business_trips_ok"": true}",,,"Русский — родной, Английский — B1","IT рекрутинг с фокусом на проведение интервью, работу с заказчиками, работу с обратной связью и переговоры.",
476036997,wolkoff_13,grandfather,grandfather,True,True,2026-06-16,148,0,"Финансовый анализ и отчётность (Excel, Power BI, Google Sheets, 1С), Обработка и визуализация данных, Оптимизация бизнес-процессов и автоматизация, Логистика и работа с перевозчиками, Продажи и сопровождение клиентов (B2B), Организация мероприятий (до 300+ участников), Работа с AI-инструментами (Claude, ChatGPT, DeepSeek, Perplexity), Python, Power Query, AmoCRM, Notion","Бизнес-ассистент, Помощник руководителя",,"Строительство (жилое, промышленное, дорожное, ремонты), Сельское хозяйство, Недвижимость, Автомобили и автоспорт, Транспортная инфраструктура, Производство / реальный сектор",,"Junior / стажёр — небольшой опыт (стажировки и краткосрочные позиции), студент последнего курса",,,,"{""cities"": [""Санкт-Петербург""], ""countries"": [""Россия""], ""remote_ok"": true, ""relocation"": false, ""business_trips"": true}",,,"Русский — родной, Английский — B2, Немецкий — A2","Хочет стать предпринимателем, ищет позицию бизнес-ассистента как лучший способ получить связи, опыт и понимание устройства бизнеса. Важно: разнообразные задачи из разных сфер, без чисто рутинного характера, частичный разъездной формат, работа с финансовыми показателями, участие в оптимизации бизнес-процессов. Организация встреч, мероприятий, логистика поездок — тоже интересны.",
220760442,emnote,free,free,True,True,2026-06-26,29,0,"B2B copywriting, Blog writing, LinkedIn content, Email newsletters, Press releases, Guest posting, eCommerce content, Cryptocurrency content, IT content, Programmatic advertising content","Copywriter, Content Writer, Content Editor, Content Manager, Technical Writer, Blog Writer, Email Copywriter","Content Manager with heavy CMS/manual publishing focus, Junior-level content placement roles","B2B, eCommerce, Cryptocurrency, IT, Programmatic Advertising, Art, Literature",,Mid / Senior,,,,"{""cities"": [""London""], ""countries"": [""United Kingdom"", ""Any (remote)""], ""remote_ok"": true}",,,"English C1 (working language, writing), Russian (native, prefers not to write professionally)","Копирайтер на английском языке. Пишет статьи в блог, LinkedIn, email-рассылки, пресс-релизы, гостевые статьи на сторонние ресурсы. Хочет именно писать и редактировать, а не заниматься ручным размещением контента.",
846771283,name_name_name,free,free,True,True,2026-08-16,4,0,"Документооборот, Работа с обращениями и жалобами, Проверки и контроль, Работа с людьми","Менеджер маркетплейсов, Контент-менеджер маркетплейсов, Специалист по заполнению карточек товаров","Оператор колл-центра, Телефонные продажи",,,Junior (вход в новую сферу — маркетплейсы),,,,"{""cities"": [], ""countries"": [], ""remote_ok"": true}",,,Русский — родной,"Удалённая работа, связанная с заполнением карточек на маркетплейсах и похожими задачами.",
